# w   G_w   Sigma_w    chi_NN_w    chi_SS_w  (D: 1, T: 0.0001, U: 1.88, half-filling)
-2.644856307721510369e+00 2.059782805348608133e-03 -4.666714293521915802e-01 -6.470998529273761478e-03 -7.925424268373548742e-02 -1.141793981163992389e-03 5.168212766283147852e-01 -2.856565631689213930e-02 -1.584912223236020073e-02 -5.191238509694163540e-03 -3.069475888704660971e-03 -8.775943572215446492e-04
-2.618669611605455749e+00 2.259868878087112950e-03 -4.738861559416825409e-01 -7.099587465474681454e-03 -8.052823907974104856e-02 -1.255040423362982493e-03 5.115965646709629278e-01 -3.035227459640982978e-02 -1.619209885071765109e-02 -5.495619750615306220e-03 -3.120285489722969194e-03 -9.184495064573929522e-04
-2.592742189708372003e+00 2.478457400468338061e-03 -4.812830210657181862e-01 -7.786303561546586635e-03 -8.183684313275918498e-02 -1.379112481004828028e-03 5.063304790437018754e-01 -3.222686986048173968e-02 -1.653796366806262880e-02 -5.813918640083418944e-03 -3.171086657981036019e-03 -9.603715683244942476e-04
-2.567071474958784183e+00 2.717138510531594015e-03 -4.888688401191328969e-01 -8.536142383471967757e-03 -8.318149347638037483e-02 -1.514995758261368508e-03 5.010249816153693470e-01 -3.419127932943111930e-02 -1.688645647063615959e-02 -6.146564305263744164e-03 -3.221852629246864993e-03 -1.003343595311826601e-03
-2.541654925701766654e+00 2.977646261980482038e-03 -4.966500630151086670e-01 -9.354551621626990346e-03 -8.456358486869897106e-02 -1.663772381770532716e-03 4.956847198817068700e-01 -3.624746324442647966e-02 -1.723717735802730855e-02 -6.493990851630044095e-03 -3.272556918656314030e-03 -1.047346496110012877e-03
-2.516490025447293721e+00 3.261834292243764259e-03 -5.046342714075636726e-01 -1.024735464974027219e-02 -8.598473575248766210e-02 -1.826610646353053757e-03 4.903110613833907561e-01 -3.839683194482425288e-02 -1.758989723602795083e-02 -6.856636980866808936e-03 -3.323176093075870963e-03 -1.092359108325983161e-03
-2.491574282621082936e+00 3.571718673276823384e-03 -5.128288481519648334e-01 -1.122088514465595030e-02 -8.744655417682301035e-02 -2.004791380521613042e-03 4.849074751834488439e-01 -4.064082077957474615e-02 -1.794420938817816932e-02 -7.234945528214545458e-03 -3.373687541760420159e-03 -1.138358284469068431e-03
-2.466905230317903985e+00 3.909480820460741780e-03 -5.212415417814809659e-01 -1.228199622490966370e-02 -8.895074006367709174e-02 -2.199713302596280340e-03 4.794772849522650482e-01 -4.298066457772382193e-02 -1.829978739613210073e-02 -7.629362907752662744e-03 -3.424070000356820888e-03 -1.185318990918272659e-03
-2.442480426057330511e+00 4.277476880081904596e-03 -5.298806363003353281e-01 -1.343808994236550015e-02 -9.049911812340161177e-02 -2.412902425555765729e-03 4.740231711547482352e-01 -4.541729948303546704e-02 -1.865618378592686158e-02 -8.040338453684771347e-03 -3.474305018143223917e-03 -1.233214419475886590e-03
-2.418297451541911336e+00 4.678267199003671023e-03 -5.387542576681094708e-01 -1.469720986392003201e-02 -9.209351593721315510e-02 -2.646032815386320514e-03 4.685495840798672429e-01 -4.795162156350728233e-02 -1.901299646320215100e-02 -8.468323645389016358e-03 -3.524375979825770163e-03 -1.282016111009737181e-03
-2.394353912417733987e+00 5.114621643628675281e-03 -5.478715108652543186e-01 -1.606805778151519995e-02 -9.373597066307337577e-02 -2.900935806552817908e-03 4.630589222836927754e-01 -5.058413258092823994e-02 -1.936976545384111112e-02 -8.913771203840912052e-03 -3.574268100602232944e-03 -1.331694090586580791e-03
-2.370647438037360555e+00 5.589550304668114075e-03 -5.572415459972314133e-01 -1.756009017401593750e-02 -9.542856424201562326e-02 -3.179622987212173124e-03 4.575547498948830394e-01 -5.331520716271732907e-02 -1.972600621804360133e-02 -9.377134047025217564e-03 -3.623969472413582967e-03 -1.382217013402960203e-03
